field,2023
- Cổ phiếu phổ thông có quyền biểu quyết,
- Cổ phiếu ưu đãi,
- Giá trị hao mòn lũy kế,
- LNST chưa phân phối kỳ này,
- LNST chưa phân phối lũy kế đến cuối kỳ trước,
- Nguyên giá,
. - Giá trị hao mòn lũy kế,-3508445704.0
. - Nguyên giá,12835779255.0
. - Nguồn kinh phí sự nghiệp năm nay,
. - Nguồn kinh phí sự nghiệp năm trước,
. . Chi phí phải trả,
. . Chi phí trả trước dài hạn,
. . Chi phí trả trước ngắn hạn,70487299176.0
. . Chi sự nghiệp năm nay,
. . Chi sự nghiệp năm trước,
. . Chênh lệch tỷ giá hối đoái,
. . Chênh lệch đánh giá lại tài sản,
". . Các khoản cầm cố, ký cược, ký quỹ ngắn hạn",
. . Các khoản phải thu khác,70077732769.0
". . Các khoản phải trả, phải nộp ngắn hạn khác",10917700306.0
. . Các khoản tương đương tiền,20000000000.0
". . Cầm cố, ký quỹ, ký cược dài hạn khác",
. . Cổ phiếu quỹ,
. . Dự phòng bảo đảm cân đối,
. . Dự phòng bồi thường,
. . Dự phòng chia lãi,
. . Dự phòng các khoản phải thu khó đòi (*),-40151383087.0
. . Dự phòng dao động lớn,
. . Dự phòng giảm giá chứng khoán đầu tư ngắn hạn (*),-2671762038.0
. . Dự phòng giảm giá hàng tồn kho (*),
. . Dự phòng giảm giá đầu tư tài chính dài hạn,
. . Dự phòng phí,
. . Dự phòng phải thu dài hạn khó đòi,
. . Dự phòng phải trả ngắn hạn,
. . Dự phòng toán học,
. . Hàng tồn kho,
. . Ký quỹ bảo hiểm,
. . Lợi nhuận sau thuế chưa phân phối,81592242263.0
. . Nguồn kinh phí sự nghiệp,
. . Nguồn kinh phí đã hình thành TSCĐ,
. . Nguồn vốn đầu tư xây dựng cơ bản,
. . Người mua trả tiền trước,89316868367.0
". . Nhận ký quỹ, ký cược dài hạn",
. . Nợ dài hạn,
. . Nợ dài hạn đến hạn phải trả,
. . Phát hành trái phiếu,
. . Phải thu của khách hàng,1295576733107.0
. . Phải thu dài hạn của khách hàng,13553732910.0
. . Phải thu dài hạn khác,6553732910.0
. . Phải thu dài hạn nội bộ,
. . Phải thu nội bộ,
. . Phải thu theo tiến độ hợp đồng xây dựng,
. . Phải trả dài hạn khác,1000000.0
. . Phải trả người bán,619701241776.0
. . Phải trả người lao động,74069079461.0
. . Phải trả nội bộ,832675473.0
. . Phải trả theo tiến độ kế hoạch hợp đồng xây dựng,
. . Quỹ dự phòng trợ cấp mất việc làm,
. . Quỹ dự phòng tài chính,
. . Quỹ dự trữ bắt buộc,15339966939.0
. . Quỹ khen thưởng phúc lợi,
. . Quỹ khen thưởng phúc lợi đưa đi đầu tư,
. . Quỹ khác thuộc vốn chủ sở hữu,
. . Quỹ quản lý của cấp trên,
. . Quỹ đầu tư phát triển,
. . Thuế giá trị gia tăng được khấu trừ,5379030033.0
. . Thuế và các khoản phải nộp nhà nước,18263997164.0
. . Thuế và các khoản phải thu Nhà nước,
. . Thặng dư vốn cổ phần,
. . Tiền gửi Ngân hàng,
. . Tiền mặt tại quỹ (gồm cả ngân phiếu),179243849337.0
. . Tiền đang chuyển,
. . Trả trước cho người bán,9440283712.0
. . Tài sản cố định hữu hình,3298204287.0
. . Tài sản cố định thuê tài chính,
. . Tài sản cố định vô hình,2845779255.0
. . Tài sản ngắn hạn khác,
. . Tài sản thiếu chờ xử lý,
. . Tài sản thuế thu nhập hoãn lãi,
. . Tài sản thừa chờ xử lý,
. . Tạm ứng,
. . Vay dài hạn,
. . Vay và nợ ngắn hạn,
. . Vốn khác của chủ sở hữu,
. . Vốn kinh doanh tại các đơn vị trực thuộc,
. . Vốn đầu tư của chủ sở hữu,1000000000000.0
. . Đầu tư chứng khoán dài hạn,
. . Đầu tư chứng khoán ngắn hạn,1309402807169.0
. . Đầu tư dài hạn khác,
. . Đầu tư ngắn hạn khác,
. . Đầu tư vào công ty con,
". . Đầu tư vào công ty liên kết, liên doanh",
. A. NỢ PHẢI TRẢ,2910630038329.0
. A. Tài sản lưu động và đầu tư ngắn hạn,3756411201449.0
. B. NGUỒN VỐN CHỦ SỞ HỮU,1096932209202.0
. B. Tài sản cố định và đầu tư dài hạn,251151046082.0
. C. LỢI ÍCH CỔ ĐÔNG THIỂU SỐ,
. I. Các khoản phải thu dài hạn,13553732910.0
. I. Nợ ngắn hạn,2891491225654.0
. I. Tiền,199243849337.0
. I. Vốn chủ sở hữu,1096932209202.0
. II. Các khoản đầu tư tài chính ngắn hạn,1334943366501.0
". II. Nguồn kinh phí, quỹ khác",
. II. Nợ dài hạn,19138812675.0
. II. Tài sản cố định,6143983542.0
. III. Chi phí xây dựng cơ bản dở dang,
. III. Các khoản phải thu,1334943366501.0
. III. Dự phòng nghiệp vụ,1928668350540.0
. IV. Bất động sản đầu tư,
. IV. Hàng tồn kho,
. IV. Nợ khác,
. NGUỒN VỐN,
. TÀI SẢN,
. TỔNG CỘNG NGUỒN VỐN,4007562247531.0
. TỔNG CỘNG TÀI SẢN,4007562247531.0
. V. Các khoản đầu tư tài chính dài hạn,201990000000.0
. V. Tài sản ngắn hạn khác,75864329209.0
. VI. Chi sự nghiệp,
". VI. Các khoản ký quỹ, ký cược dài hạn",29463329630.0
"1. Chi phí sản xuất, kinh doanh dở dang dài hạn",
1. Chi phí trả trước dài hạn,
1. Chi phí trả trước ngắn hạn,
1. Chứng khoán kinh doanh,
1. Hàng tồn kho,
1. Nguồn kinh phí,
1. Phải thu dài hạn của khách hàng,
1. Phải thu ngắn hạn của khách hàng,
1. Phải trả người bán dài hạn,
1. Phải trả người bán ngắn hạn,
1. Tiền,
1. Tài sản cố định hữu hình,
1. Vốn góp của chủ sở hữu,
1. Đầu tư vào công ty con,
10. Cổ phiếu ưu đãi,
10. Quỹ khác thuộc vốn chủ sở hữu,
10. Vay và nợ thuê tài chính ngắn hạn,
11. Dự phòng phải trả ngắn hạn,
11. Lợi nhuận sau thuế chưa phân phối,
11. Thuế thu nhập hoãn lại phải trả,
12. Dự phòng phải trả dài hạn,
12. Nguồn vốn đầu tư XDCB,
12. Quỹ khen thưởng phúc lợi,
13. Lợi ích cổ đông không kiểm soát,
13. Quỹ bình ổn giá,
13. Quỹ phát triển khoa học và công nghệ,
14. Giao dịch mua bán lại trái phiếu Chính phủ,
2. Chi phí xây dựng cơ bản dở dang,
2. Các khoản tương đương tiền,
2. Dự phòng giảm giá chứng khoán kinh doanh,
2. Dự phòng giảm giá hàng tồn kho,
2. Nguồn kinh phí đã hình thành TSCĐ,
2. Người mua trả tiền trước dài hạn,
2. Người mua trả tiền trước ngắn hạn,
2. Thuế GTGT được khấu trừ,
2. Thặng dư vốn cổ phần,
2. Trả trước cho người bán dài hạn,
2. Trả trước cho người bán ngắn hạn,
2. Tài sản cố định thuê tài chính,
2. Tài sản thuế thu nhập hoãn lại,
"2. Đầu tư vào công ty liên kết, liên doanh",
3. Chi phí phải trả dài hạn,
3. Phải thu nội bộ ngắn hạn,
3. Quyền chọn chuyển đổi trái phiếu,
"3. Thiết bị, vật tư, phụ tùng thay thế dài hạn",
3. Thuế và các khoản khác phải thu Nhà nước,
3. Thuế và các khoản phải nộp nhà nước,
3. Tài sản cố định vô hình,
3. Vốn kinh doanh ở đơn vị trực thuộc,
3. Đầu tư góp vốn vào đơn vị khác,
3. Đầu tư nắm giữ đến ngày đáo hạn,
4. Dự phòng đầu tư tài chính dài hạn,
4. Giao dịch mua bán lại trái phiếu Chính phủ,
4. Phải thu nội bộ dài hạn,
4. Phải thu theo tiến độ kế hoạch hợp đồng xây dựng,
4. Phải trả người lao động,
4. Phải trả nội bộ về vốn kinh doanh,
4. Tài sản dài hạn khác,
4. Vốn khác của chủ sở hữu,
5. Chi phí phải trả ngắn hạn,
5. Cổ phiếu quỹ,
5. Lợi thế thương mại,
5. Phải thu về cho vay dài hạn,
5. Phải thu về cho vay ngắn hạn,
5. Phải trả nội bộ dài hạn,
5. Tài sản ngắn hạn khác,
5. Đầu tư nắm giữ đến ngày đáo hạn,
6. Chênh lệch đánh giá lại tài sản,
6. Doanh thu chưa thực hiện dài hạn,
6. Phải thu dài hạn khác,
6. Phải thu ngắn hạn khác,
6. Phải trả nội bộ ngắn hạn,
7. Chênh lệch tỷ giá hối đoái,
7. Dự phòng phải thu dài hạn khó đòi,
7. Dự phòng phải thu ngắn hạn khó đòi,
7. Phải trả dài hạn khác,
7. Phải trả theo tiến độ kế hoạch hợp đồng xây dựng,
8. Doanh thu chưa thực hiện ngắn hạn,
8. Quỹ đầu tư phát triển,
8. Tài sản Thiếu chờ xử lý,
8. Vay và nợ thuê tài chính dài hạn,
9. Phải trả ngắn hạn khác,
9. Quỹ hỗ trợ sắp xếp doanh nghiệp,
9. Trái phiếu chuyển đổi,
A- TÀI SẢN NGẮN HẠN,
B. TÀI SẢN DÀI HẠN,
C. NỢ PHẢI TRẢ,
D.VỐN CHỦ SỞ HỮU,
I. Các khoản phải thu dài hạn,
I. Nợ ngắn hạn,
I. Tiền và các khoản tương đương tiền,
I. Vốn chủ sở hữu,
II. Các khoản đầu tư tài chính ngắn hạn,
II. Nguồn kinh phí và quỹ khác,
II. Nợ dài hạn,
II.Tài sản cố định,
III. Bất động sản đầu tư,
III. Các khoản phải thu ngắn hạn,
IV. Hàng tồn kho,
IV. Tài sản dở dang dài hạn,
NGUỒN VỐN,
TÀI SẢN,
TỔNG CỘNG NGUỒN VỐN,
TỔNG CỘNG TÀI SẢN,
V. Đầu tư tài chính dài hạn,
V.Tài sản ngắn hạn khác,
VI. Tài sản dài hạn khác,
